-----------------------------
Automat 1
alphabet - 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, +, -, /, *, e, .
statements - s0, s1, s2, s3, s4, s5, s6, s7, s8, s9, s10
final - s1, s4, s7, s10, s9
start - s0

s0 | 0 | s2
s0 | 1 | s2
s0 | 2 | s2
s0 | 3 | s2
s0 | 4 | s2
s0 | 5 | s2
s0 | 6 | s2
s0 | 7 | s2
s0 | 8 | s2
s0 | 9 | s2
s0 | + | s1
s0 | / | s1
s0 | * | s1
s0 | - | s1
s0 | . | s3
s2 | 0 | s1
s2 | 1 | s1
s2 | 2 | s1
s2 | 3 | s1
s2 | 4 | s1
s2 | 5 | s1
s2 | 6 | s1
s2 | 7 | s1
s2 | 8 | s1
s2 | 9 | s1
s1 | 0 | s2
s1 | 1 | s2
s1 | 2 | s2
s1 | 3 | s2
s1 | 4 | s2
s1 | 5 | s2
s1 | 6 | s2
s1 | 7 | s2
s1 | 8 | s2
s1 | 9 | s2
s1 | . | s3
s3 | 0 | s4
s3 | 1 | s4
s3 | 2 | s4
s3 | 3 | s4
s3 | 4 | s4
s3 | 5 | s4
s3 | 6 | s4
s3 | 7 | s4
s3 | 8 | s4
s3 | 9 | s4
s2 | . | s9
s2 | e | s6
s9 | e | s5
s9 | 0 | s4
s9 | 1 | s4
s9 | 2 | s4
s9 | 3 | s4
s9 | 4 | s4
s9 | 5 | s4
s9 | 6 | s4
s9 | 7 | s4
s9 | 8 | s4
s9 | 9 | s4
s4 | 0 | s4
s4 | 1 | s4
s4 | 2 | s4
s4 | 3 | s4
s4 | 4 | s4
s4 | 5 | s4
s4 | 6 | s4
s4 | 7 | s4
s4 | 8 | s4
s4 | 9 | s4
s4 | e | s5
s6 | 0 | s7
s6 | 1 | s7
s6 | 2 | s7
s6 | 3 | s7
s6 | 4 | s7
s6 | 5 | s7
s6 | 6 | s7
s6 | 7 | s7
s6 | 8 | s7
s6 | 9 | s7
s6 | + | s8
s6 | - | s8
s6 | * | s8
s6 | / | s8
s5 | 0 | s7
s5 | 1 | s7
s5 | 2 | s7
s5 | 3 | s7
s5 | 4 | s7
s5 | 5 | s7
s5 | 6 | s7
s5 | 7 | s7
s5 | 8 | s7
s5 | 9 | s7
s7 | 0 | s7
s7 | 1 | s7
s7 | 2 | s7
s7 | 3 | s7
s7 | 4 | s7
s7 | 5 | s7
s7 | 6 | s7
s7 | 7 | s7
s7 | 8 | s7
s7 | 9 | s7
s5 | + | s8
s5 | - | s8
s5 | * | s8
s5 | / | s8
s8 | 0 | s10
s8 | 1 | s10
s8 | 2 | s10
s8 | 3 | s10
s8 | 4 | s10
s8 | 5 | s10
s8 | 6 | s10
s8 | 7 | s10
s8 | 8 | s10
s8 | 9 | s10
s10 | 0 | s10
s10 | 1 | s10
s10 | 2 | s10
s10 | 3 | s10
s10 | 4 | s10
s10 | 5 | s10
s10 | 6 | s10
s10 | 7 | s10
s10 | 8 | s10
s10 | 9 | s10
-----------------------------
Automat 2
alphabet - w, h, i, l, e
statements - s1, s2, s3, s4, s5, s6
final - s6
start - s1

s1 | w | s2
s2 | h | s3
s3 | i | s4
s4 | l | s5
s5 | e | s6
-----------------------------
Automat 3
alphabet - w, h, i, l, e, 1, 2, 3
statements - s1, s2
final - s2
start - s1

s1 | w | s2
s2 | w | s2
s1 | h | s2
s2 | h | s2
s1 | i | s2
s2 | i | s2
s1 | l | s2
s2 | l | s2
s1 | e | s2
s2 | e | s2
s2 | 1 | s2
s2 | 2 | s2
s2 | 3 | s2
-----------------------------
